2,2,2017-05-11T10:25:59.211,NSGAII,NullMutation,BLXAlphaCrossover
23,5,3.3580959851450025,4.0,7.276808645446986,-6.679047992572501
23,6,1.2287680287184877,4.0,-2.490129131599282,-5.614384014359244
23,8,4.0,4.0,12.0,-7.0
23,10,4.0,4.0,12.0,-7.0
24,1,2.6089632732885732,4.0,2.806689361368626,-6.304481636644287
24,2,2.7519166732322233,4.0,3.573045376413507,-6.375958336616112
24,3,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
24,4,4.0,4.0,12.0,-7.0
24,7,4.0,4.0,12.0,-7.0
24,8,4.0,4.0,12.0,-7.0
24,10,3.6613718108386344,4.0,9.405643537203781,-6.830685905419317
25,1,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
25,2,4.0,4.0,12.0,-7.0
25,3,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
25,4,4.0,4.0,12.0,-7.0
25,5,1.9077704434132539,4.0,-0.36041193523879667,-5.953885221706627
25,6,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
25,7,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
25,8,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
25,9,4.0,4.0,12.0,-7.0
25,10,4.0,4.0,12.0,-7.0
26,1,4.0,4.0,12.0,-7.0
26,2,4.0,4.0,12.0,-7.0
26,3,1.105571894235016,4.0,-2.7777107866775985,-5.552785947117508
26,5,4.0,4.0,12.0,-7.0
26,6,4.0,4.0,12.0,-7.0
26,7,4.0,4.0,12.0,-7.0
26,9,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
26,10,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
27,2,4.0,4.0,12.0,-7.0
27,3,4.0,4.0,12.0,-7.0
27,4,2.098248337571297,4.0,0.4026460861207113,-6.0491241687856485
27,6,4.0,4.0,12.0,-7.0
27,9,4.0,4.0,12.0,-7.0
27,10,0.5387400119748402,4.0,-3.709759199497349,-5.26937000598742
28,1,4.0,4.0,12.0,-7.0
28,6,4.0,4.0,12.0,-7.0
28,8,4.0,4.0,12.0,-7.0
28,9,3.129506010748699,4.0,5.793807871312236,-6.5647530053743495
28,10,3.129506010748699,4.0,5.793807871312236,-6.5647530053743495
29,3,2.1283031505524646,4.0,0.5296743006515463,-6.064151575276233
29,4,4.0,4.0,12.0,-7.0
29,5,4.0,4.0,12.0,-7.0
29,7,4.0,4.0,12.0,-7.0
29,8,4.0,4.0,12.0,-7.0
29,9,4.0,4.0,12.0,-7.0
30,1,4.0,4.0,12.0,-7.0
30,2,4.0,4.0,12.0,-7.0
30,3,3.893542811229864,4.0,11.159675622879751,-6.946771405614932
30,5,4.0,4.0,12.0,-7.0
30,6,4.0,4.0,12.0,-7.0
30,9,4.0,4.0,12.0,-7.0
30,10,4.0,4.0,12.0,-7.0
31,1,4.0,4.0,12.0,-7.0
31,2,4.0,4.0,12.0,-7.0
31,3,4.0,4.0,12.0,-7.0
31,4,2.1776958532529065,4.0,0.7423592292749044,-6.088847926626453
32,6,2.0377142920316196,4.0,0.1522795359499245,-6.01885714601581
32,7,4.0,4.0,12.0,-7.0
32,8,4.0,4.0,12.0,-7.0
32,9,4.0,4.0,12.0,-7.0
32,10,3.129506010748699,4.0,5.793807871312236,-6.5647530053743495
33,1,4.0,4.0,12.0,-7.0
33,2,4.0,4.0,12.0,-7.0
33,5,4.0,4.0,12.0,-7.0
33,7,3.3888879629446755,4.0,7.484561625391313,-6.694443981472338
33,8,4.0,4.0,12.0,-7.0
33,10,2.1776958532529065,4.0,0.7423592292749044,-6.088847926626453
34,1,2.1776958532529065,4.0,0.7423592292749044,-6.088847926626453
34,2,2.1776958532529065,4.0,0.7423592292749044,-6.088847926626453
34,4,4.0,4.0,12.0,-7.0
34,5,3.6613718108386344,4.0,9.405643537203781,-6.830685905419317
34,6,3.6613718108386344,4.0,9.405643537203781,-6.830685905419317
34,8,4.0,4.0,12.0,-7.0
34,9,1.2287680287184877,4.0,-2.490129131599282,-5.614384014359244
34,10,1.2287680287184877,4.0,-2.490129131599282,-5.614384014359244
35,1,4.0,4.0,12.0,-7.0
35,2,4.0,4.0,12.0,-7.0
35,3,4.0,4.0,12.0,-7.0
35,4,4.0,4.0,12.0,-7.0
35,6,4.0,4.0,12.0,-7.0
35,7,4.0,4.0,12.0,-7.0
35,10,4.0,4.0,12.0,-7.0
36,3,1.3752115711220316,4.0,-2.1087931346520734,-5.687605785561016
36,4,0.5587689562632507,4.0,-3.6877772535164772,-5.279384478131625
36,6,2.576980892789628,4.0,2.640830521802827,-6.288490446394814
36,9,3.500075471565662,4.0,8.25052830665559,-6.750037735782831
36,10,4.0,4.0,12.0,-7.0
37,1,4.0,4.0,12.0,-7.0
37,3,3.129506010748699,4.0,5.793807871312236,-6.5647530053743495
38,1,4.0,4.0,12.0,-7.0
38,4,4.0,4.0,12.0,-7.0
38,5,1.3857726369455499,4.0,-2.079634198692977,-5.692886318472775
38,6,4.0,4.0,12.0,-7.0
38,7,0.9450560769525929,4.0,-3.106869011414975,-5.472528038476296
38,8,0.8296425010056296,4.0,-3.3116933205251238,-5.414821250502815
38,10,3.500075471565662,4.0,8.25052830665559,-6.750037735782831
39,2,3.8365801726450055,4.0,10.719347421132781,-6.918290086322503
39,3,3.129506010748699,4.0,5.793807871312236,-6.5647530053743495
39,4,3.129506010748699,4.0,5.793807871312236,-6.5647530053743495
39,6,4.0,4.0,12.0,-7.0
39,7,2.1776958532529065,4.0,0.7423592292749044,-6.088847926626453
39,10,4.0,4.0,12.0,-7.0
40,1,4.0,4.0,12.0,-7.0
40,2,4.0,4.0,12.0,-7.0
40,3,4.0,4.0,12.0,-7.0
40,4,4.0,4.0,12.0,-7.0
40,7,4.0,4.0,12.0,-7.0
40,8,4.0,4.0,12.0,-7.0
40,9,4.0,4.0,12.0,-7.0
41,2,4.0,4.0,12.0,-7.0
41,3,4.0,4.0,12.0,-7.0
41,4,2.576980892789628,4.0,2.640830521802827,-6.288490446394814
41,8,4.0,4.0,12.0,-7.0
41,9,4.0,4.0,12.0,-7.0
41,10,4.0,4.0,12.0,-7.0
42,3,4.0,4.0,12.0,-7.0
42,4,0.8296425010056296,4.0,-3.3116933205251238,-5.414821250502815
42,5,4.0,4.0,12.0,-7.0
42,6,4.0,4.0,12.0,-7.0
42,9,2.9291118818014725,4.0,4.579696416110563,-6.464555940900736
42,10,4.0,4.0,12.0,-7.0
43,1,4.0,4.0,12.0,-7.0
43,2,1.3857726369455499,4.0,-2.079634198692977,-5.692886318472775
43,3,4.0,4.0,12.0,-7.0
43,5,4.0,4.0,12.0,-7.0
43,6,2.576980892789628,4.0,2.640830521802827,-6.288490446394814
44,1,4.0,4.0,12.0,-7.0
44,4,2.4287288880709,4.0,1.8987240117501099,-6.21436444403545
44,7,4.0,4.0,12.0,-7.0
44,9,4.0,4.0,12.0,-7.0
45,2,3.129506010748699,4.0,5.793807871312236,-6.5647530053743495
45,3,2.6989773234801824,4.0,3.284478592660249,-6.349488661740091
45,4,4.0,4.0,12.0,-7.0
45,5,4.0,4.0,12.0,-7.0
45,6,4.0,4.0,12.0,-7.0
45,7,3.129506010748699,4.0,5.793807871312236,-6.5647530053743495
45,8,1.3857726369455499,4.0,-2.079634198692977,-5.692886318472775
45,9,4.0,4.0,12.0,-7.0
46,8,3.6613718108386344,4.0,9.405643537203781,-6.830685905419317
46,9,4.0,4.0,12.0,-7.0
46,10,4.0,4.0,12.0,-7.0
47,3,4.0,4.0,12.0,-7.0
47,6,4.0,4.0,12.0,-7.0
47,7,4.0,4.0,12.0,-7.0
47,8,2.4287288880709,4.0,1.8987240117501099,-6.21436444403545
47,9,4.0,4.0,12.0,-7.0
48,1,4.0,4.0,12.0,-7.0
48,2,4.0,4.0,12.0,-7.0
48,5,4.0,4.0,12.0,-7.0
48,6,2.6989773234801824,4.0,3.284478592660249,-6.349488661740091
48,8,4.0,4.0,12.0,-7.0
48,9,4.0,4.0,12.0,-7.0
48,10,4.0,4.0,12.0,-7.0
49,1,4.0,4.0,12.0,-7.0
49,2,3.129506010748699,4.0,5.793807871312236,-6.5647530053743495
49,3,2.4287288880709,4.0,1.8987240117501099,-6.21436444403545
49,4,1.3857726369455499,4.0,-2.079634198692977,-5.692886318472775
49,5,3.129506010748699,4.0,5.793807871312236,-6.5647530053743495
49,6,3.129506010748699,4.0,5.793807871312236,-6.5647530053743495
49,7,4.0,4.0,12.0,-7.0
49,9,4.0,4.0,12.0,-7.0
50,1,4.0,4.0,12.0,-7.0
50,2,4.0,4.0,12.0,-7.0
50,5,1.3857726369455499,4.0,-2.079634198692977,-5.692886318472775
50,6,1.3857726369455499,4.0,-2.079634198692977,-5.692886318472775
50,7,1.3857726369455499,4.0,-2.079634198692977,-5.692886318472775
50,8,1.3857726369455499,4.0,-2.079634198692977,-5.692886318472775
51,1,3.129506010748699,4.0,5.793807871312236,-6.5647530053743495
51,2,3.6613718108386344,4.0,9.405643537203781,-6.830685905419317
51,5,4.0,4.0,12.0,-7.0
51,6,4.0,4.0,12.0,-7.0
51,8,4.0,4.0,12.0,-7.0
51,9,4.0,4.0,12.0,-7.0
52,1,2.6989773234801824,4.0,3.284478592660249,-6.349488661740091
52,2,3.129506010748699,4.0,5.793807871312236,-6.5647530053743495
52,6,4.0,4.0,12.0,-7.0
52,8,0.4563126392055139,4.0,-3.7917787753012986,-5.228156319602757
52,9,2.6989773234801824,4.0,3.284478592660249,-6.349488661740091
